Sensory nerve induced inflammation contributes to heterotopic ossification; E Salisbury, E Rodenberg, C Sonnet, J Hipp, FH Gannon, TJ Vadakkan, ME Dickinson, EA Olmsted‐Davis, AR Davis
Ectopic expression of cyclin D3 corrects differentiation of DM1 myoblasts through activation of RNA CUG-binding protein, CUGBP1; E Salisbury, K Sakai, B Schoser, C Huichalaf, C Schneider-Gold, H Nguyen, GL Wang, JH Albrecht, LT Timchenko
Expression of RNA CCUG repeats dysregulates translation and degradation of proteins in myotonic dystrophy 2 patients; E Salisbury, B Schoser, C Schneider-Gold, GL Wang, C Huichalaf, B Jin, M Sirito, P Sarkar, R Krahe, NA Timchenko, LT Timchenko
Heterotopic ossification has some nerve; E Salisbury, C Sonnet, M Heggeness, AR Davis, E Olmsted-Davis
Transient brown adipocyte-like cells derive from peripheral nerve progenitors in response to bone morphogenetic protein 2; E Salisbury, ZW Lazard, EE Ubogu, AR Davis, E Olmsted-Davis
Histologic identification of brown adipose and peripheral nerve involvement in human atherosclerotic vessels; E Salisbury, J Hipp, E Olmsted-Davis, AR Davis, MH Heggeness, FH Gannon
Characterization of brown adipose–like tissue in trauma-induced heterotopic ossification in humans; E Salisbury, AR Dickerson, TA Davis, JA Forsberg, AR Davis, E Olmsted-Davis
Adverse events and bone morphogenetic protein-2; E Salisbury, EA Olmsted-Davis, AR Davis
202-LB: Diabetes-Induced Modulation of a Specialized Macrophage Implicated in Bone and Nerve Repair; E Salisbury, JA Mejia, Z Gugala, AR Davis, E Olmsted-Davis
Brown adipocyte-like cells from the peripheral nerve functionally contribute to heterotopic bone formation in a multifaceted manner; E Salisbury, ZW Lazard, E Beal, E Davis, A Davis, E Olmsted-Davis
Neuronal Regulation of Heterotropic Ossification; E Salisbury
