Modification of papermaking grade fillers: a brief review; J Shen, Z Song, X Qian, W Liu
Carboxymethyl cellulose/alum modified precipitated calcium carbonate fillers: Preparation and their use in papermaking; J Shen, Z Song, X Qian, F Yang
A review on use of fillers in cellulosic paper for functional applications; J Shen, Z Song, X Qian, Y Ni
A combined process of activated carbon adsorption, ion exchange resin treatment and membrane concentration for recovery of dissolved organics in pre-hydrolysis liquor of the kraft-based dissolving pulp production process; J Shen, I Kaur, MM Baktash, Z He, Y Ni
Biopolymers for surface engineering of paper-based products; J Shen, P Fatehi, Y Ni
Recovery of lignocelluloses from pre-hydrolysis liquor in the lime kiln of kraft-based dissolving pulp production process by adsorption to lime mud; J Shen, P Fatehi, P Soleimani, Y Ni
Carbohydrate-based fillers and pigments for papermaking: A review; J Shen, Z Song, X Qian, Y Ni
Lime treatment of prehydrolysis liquor from the kraft-based dissolving pulp production process; J Shen, P Fatehi, P Soleimani, Y Ni
A review on engineering of cellulosic cigarette paper to reduce carbon monoxide delivery of cigarettes; J Shen, J Li, X Qian, W Ren, P Fatehi
Nanofillers for papermaking wet end applications; J Shen, Z Song, X Qian, F Yang, F Kong
Investigations on the preparation of starch sodium oleate alum modified precipitated calcium carbonate filler and its use in papermaking; J Shen, Z Song, X Qian
A preliminary investigation into the use of acid-tolerant precipitated calcium carbonate fillers in papermaking of deinked pulp derived from recycled newspaper; J Shen, Z Song, X Qian, W Liu
Modification of precipitated calcium carbonate filler using sodium silicate zink chloride based modifiers to improve acid-resistance and use of the modified filler in papermaking; J Shen, Z Song, X Qian, W Liu
Filler engineering for papermaking: comparision with fiber engineering and some important research topics; J Shen, Z Song, X Qian, W Liu, F Yang
A review on the use of lignocellulose-derived chemicals in wet-end application of papermaking; J Shen, P Fatehi
Application of fillers in cellulosic paper by surface filling: An interesting alternative or supplement to wet-end addition; J Shen, X Qian
Use of mineral pigments in fabrication of superhydrophobically engineered cellulosic paper; J Shen, X Qian
Possible trends of renewable organic fillers and pigments derived from natural resources for sustainable development of papermaking industry; J Shen, Z Song, X Qian
Disassembly, refinement, and reassembly: From ancient papermaking to modern materials processing; J Shen, M Zhang
Fillers and the carbon footprint of papermaking; J Shen, Z Song, X Qian, W Liu, F Yang
Cationic hemicellulose as a product of dissolving pulp based biorefinery; J Shen, R Singh, M Konduri, P Fatehi
Preparation of chitosan-coated papermaking grade PCC filler and its application; J Shen, ZQ Song, XQ Qian, CJ Song
Why Paper Technologists Use the Terms Wet End and Wet End Chemistry; J Shen, MA Hubbe
Addressing the water footprint concept: a demonstrable strategy for papermaking industry; J Shen, X Qian
Dissolutioninhibiting effect of silicate-based inhibitors on precipitated calcium carbonate filler; J Shen, ZQ Song, XR Qian, KC Wang, Y Zhang
Method for the preparation of acid-tolerant calcium carbonate fillers and filled paper based on high-lignin-content deinked pulp derived from recycled newspaper; J Shen, S Zhanqian, Q Xueren, Y Zhang
Dissolutioninhibiting effects of phosphoric acid and phosphoric acid cofactor on papermaking grade PCC filler; J Shen, ZQ Song, XR Qian, Y Zhang, KC Wang
Booming research publications in China; J Shen, L Zheng, Z He
Pulp and Paper: Reflections on Faculty and Research Careers and the Journey with BioResources; J Shen


