Gromov–Witten invariants of ℙ1 and Eynard–Orantin invariants; P Norbury, N Scott
A new cohomology class on the moduli space of curves; P Norbury
Counting lattice points in the moduli space of curves; P Norbury
String and dilaton equations for counting lattice points in the moduli space of curves; P Norbury
Quantum curves and topological recursion; P Norbury
Enumerative geometry via the moduli space of super Riemann surfaces; P Norbury
Lengths of geodesics on non-orientable hyperbolic surfaces; P Norbury
Polynomials representing eynard–orantin invariants; P Norbury, N Scott
Spectral curves and the mass of hyperbolic monopoles; P Norbury, NM Romao
Magnetic monopoles on manifolds with boundary; P Norbury
Cell decompositions of moduli space, lattice points and Hurwitz problems; P Norbury
Periodic instantons and the loop group; P Norbury
Gromov-Witten invariants of P1 coupled to a KdV tau function; P Norbury
Asymptotic values of hyperbolic monopoles; P Norbury
Real instantons, Dirac operators and quaternionic classifying spaces; P Norbury, M Sanders
Super Weil-Petersson measures on the moduli space of curves; P Norbury
Boundary algebras of hyperbolic monopoles; P Norbury
Stationary Gromov–Witten invariants of projective spaces; P Norbury
Magnetic monopoles and the loop group; P Norbury
Stable reduction and topological invariants of complex polynomials; P Norbury
Polynomial relations among kappa classes on the moduli space of stable curves; P Norbury
A new cohomology class on the moduli space of stable curves; P Norbury
Volume of the moduli space of super Riemann surfaces; P Norbury
Gauge theory in three and four dimensions; P Norbury
Irregular spectral curves and Givental decomposition; P Norbury
Discretized moduli space and cohomological field theory; P Norbury
Symplectic toric varieties; P Norbury
Polynomials with rational fibres; P Norbury
