Data Name,§,in,that,.,one,/edocument/,(,has,],and,using,been,a,from,these,we,is,the,as,it,[,with,on,an,for,to,two,different,than,not,this,can,by,are,at,),be,also,of,but,",",which
1407.5966,5,62,23,189,2,1,58,7,5,73,12,6,104,29,4,30,50,299,26,6,5,44,9,20,18,58,4,1,9,8,24,6,26,22,38,58,7,6,137,4,133,6
1407.5153,6,34,14,73,3,1,19,5,1,25,4,3,47,11,5,5,19,134,5,4,1,17,7,9,10,29,3,2,2,2,13,10,14,9,6,19,8,6,61,5,50,8
2510.05818,10,311,128,588,10,1,313,15,12,341,10,21,218,112,45,102,214,1172,103,40,12,133,54,30,161,216,15,10,26,49,100,34,63,97,122,314,66,23,406,15,673,34
1608.01913,3,93,22,180,19,1,108,4,14,97,7,4,81,17,10,33,84,461,35,18,14,28,24,14,36,95,4,9,4,13,20,16,35,32,18,108,37,8,127,11,311,13
1709.04872,9,96,56,198,6,2,78,9,26,97,17,3,95,23,7,27,93,353,20,26,26,45,11,26,49,77,4,3,10,15,45,15,25,22,5,78,46,9,128,3,222,17
1407.5967,4,61,38,143,2,1,48,4,1,61,2,8,102,12,5,19,54,263,15,3,1,45,13,20,27,39,7,3,4,7,34,1,25,22,27,49,13,10,145,5,123,19
1410.3692,7,72,46,220,7,1,88,4,2,86,10,12,98,17,18,9,36,247,26,14,2,37,16,23,25,86,5,6,8,4,22,27,23,31,7,87,25,11,136,8,660,3
2407.08431,7,61,16,176,9,1,83,10,2,146,3,2,52,27,4,2,54,312,15,11,2,27,23,15,42,91,15,3,1,5,27,9,15,27,8,83,26,19,106,2,232,13
2505.11616,6,134,62,233,9,1,45,17,27,139,7,7,95,48,43,68,56,479,32,4,2,81,31,27,66,119,7,2,13,9,32,10,44,43,32,45,30,14,225,9,349,25
1405.0907,11,199,56,417,16,1,115,8,53,248,13,17,189,51,15,20,102,766,46,16,52,89,37,26,58,154,20,4,13,19,42,25,55,58,85,115,38,11,395,12,1023,10
2502.01840,6,206,48,433,13,1,130,13,11,271,26,11,160,73,19,158,133,889,70,13,11,101,56,43,57,224,17,12,14,11,68,14,42,78,65,140,30,8,356,19,542,22
1109.4534,4,53,15,175,4,1,85,3,36,86,8,1,97,25,7,11,45,254,9,2,36,41,9,18,25,32,14,2,10,6,9,4,15,17,40,85,14,1,93,1,640,5
2410.08563,5,65,14,124,8,1,89,4,62,79,9,5,69,7,8,11,32,367,28,3,47,40,35,9,49,72,7,22,3,5,19,9,29,23,7,89,27,7,135,4,212,5
2511.19572,10,469,196,860,38,1,155,28,21,426,51,14,249,209,49,168,429,1972,117,66,10,223,64,36,277,414,52,45,64,82,111,107,184,206,156,155,186,56,804,18,946,80
2511.20091,10,145,66,396,2,1,165,8,85,213,32,5,238,39,17,104,75,630,61,26,85,99,39,50,137,192,7,11,20,24,58,14,49,54,38,169,56,19,307,13,1346,26
