arxiv_id,title,authors,first_author,summary,primary_category,categories,published,doi,journal_ref,first_author_institution,first_author_country,coauthor_countries,venue,venue_issn,publication_year,cited_by_count,biblio_volume,biblio_issue,biblio_pages,metadata_source,metadata_completeness,scrape_timestamp
1605.07533,Image modeling of compact starburst clusters: I. R136,"[""Zeinab Khorrami"", ""Farrokh Vakili"", ""Olivier Chesneau""]",Zeinab Khorrami,"Continuous progress in data quality from HST, recent multiwavelength high resolution spectroscopy and high contrast imaging from ground adaptive optics on large telescopes need modeling of R136 to understand its nature and evolutionary stage. To produce the best synthesized multiwavelength images of R136 we need to simulate the effect of dynamical and stellar evolution, mass segregation and binary stars fraction on the survival of young massive clusters with the initial parameters of R136 in the LMC, being set to the present knowledge of this famous cluster. We produced a series of 32 young massive clusters using the NBODY6 code. Each cluster was tracked with adequate temporal samples to follow the evolution of R136 during its early stages. To compare the NBODY6 simulations with observational data, we created the synthetic images from the output of the code. We used the TLUSTY and KURUCZ model atmospheres to produce the fluxes in HST/ WFPC2 filters. GENEVA isochrones were used to track the evolution of stars. Then, we derived the observable parameters from synthetic scenes at the spatial resolution of HST/WFPC2 in the F814W filter (790.48nm). Surface brightness profile of the cluster, half-light radius, mass function and neighbor radius were used to select the best representation of R136. We compared the simulations of R136 to its HST imagery by creating synthetic scenes at the same resolution, pixel scale and FOV of the HST. We applied the same photometric analysis of the images as of the real ones. Having extracted the stellar sources, we estimated the mass-function, the surface brightness profile, the half-light radius and the neighbor radius across R136. The interpretation of these criteria point to the fact that an initially non-segregated cluster scenario is more representative of R136. This result pleads for the formation of massive stars by accretion instead of collision.",astro-ph.SR,"[""astro-ph.SR"", ""astro-ph.GA""]",2016-05-24T16:31:22+00:00,,,,,,,,,,,,,arXiv-only,0.0,2026-01-15T22:09:06.093764
2410.08563,Simplified model(s) of the GRAVITY+ adaptive optics system(s) for performance prediction,"[""Anthony Berdeu"", ""Jean-Baptiste Le Bouquin"", ""Guillaume Mella"", ""Laurent Bourg\u00e8s"", ""Jean-Philippe Berger"", ""Guillaume Bourdarot"", ""Thibaut Paumard"", ""Frank Eisenhauer"", ""Christian Straubmeier"", ""Paulo Garcia"", ""Sebastian H\u00f6nig"", ""Florentin Millour"", ""Laura Kreidberg"", ""Denis Defr\u00e8re"", ""Ferr\u00e9ol Soulez"", ""Taro Shimizu""]",Anthony Berdeu,"In the context of the GRAVITY+ upgrade, the adaptive optics (AO) systems of the GRAVITY interferometer are undergoing a major lifting. The current CILAS deformable mirrors (DM, 90 actuators) will be replaced by ALPAO kilo-DMs (43x43, 1432 actuators). On top of the already existing 9x9 Shack-Hartmann wavefront sensors (SH-WFS) for infrared (IR) natural guide star (NGS), new 40x40 SH-WFSs for visible (VIS) NGS will be deployed. Lasers will also be installed on the four units of the Very Large Telescope to provide a laser guide star (LGS) option with 30x30 SH-WFSs and with the choice to either use the 9x9 IR-WFSs or 2x2 VIS-WFSs for low order sensing. Thus, four modes will be available for the GRAVITY+ AO system (GPAO): IR-NGS, IR-LGS, VIS-NGS and VIS-LGS. To prepare the instrument commissioning and help the observers to plan their observations, a tool is needed to predict the performances of the different modes and for different observing conditions (NGS magnitude, science object magnitude, turbulence conditions...) We developed models based on a Mar{é}chal approximation to predict the Strehl ratio of the four GPAO modes in order to feed the already existing tool that simulates the GRAVITY performances. Waiting for commissioning data, our model was validated and calibrated using the TIPTOP toolbox, a Point Spread Function simulator based on the computation of Power Spectrum Densities. In this work, we present our models of the NGS modes of GPAO and their calibration with TIPTOP.",astro-ph.IM,"[""astro-ph.IM""]",2024-10-11T06:38:36+00:00,10.1117/12.3019865,"Adaptive Optics Systems IX, Jun 2024, Yokohama, France. pp.199",Laboratoire d’études spatiales et d’instrumentation en astrophysique,FR,"[""BE"", ""DE"", ""FR"", ""GB"", ""PT"", ""RU""]",,,2024.0,0.0,61,,199,OpenAlex,0.75,2026-01-15T22:09:09.383192
2312.12125,Chromatically modelling the parsec scale dusty structure in the centre of NGC1068,"[""James Leftley"", ""Romain Petrov"", ""Niklas Moszczynski"", ""Pierre Vermot"", ""Sebastian Hoenig"", ""Violeta Gamez Rosas"", ""Jacob Isbell"", ""Walter Jaffe"", ""Yann Clenet"", ""Jean-Charles Augereau"", ""Philippe Berio"", ""Richard Davies"", ""Thomas Henning"", ""Stephane Lagarde"", ""Bruno Lopez"", ""Alexis Matter"", ""Anthony Meilland"", ""Florentin Millour"", ""Nicole Nesvadba"", ""Taro Shimizu"", ""Eckhard Sturm"", ""Gerd Weigelt""]",James Leftley,"The Very Large Telescope Interferometer (VLTI) has been providing breakthrough images of the dust in the central parsecs of Active Galactic Nuclei (AGN), a key component of the AGN unification scheme and AGN host galaxy interaction. In single IR bands, the images can have multiple interpretations some of which could challenge the unification scheme. This is the case for the archetypal type 2 AGN of NGC1068. The ambiguity is reduced by multi-band temperature maps which are hindered by uncertainty in intra-band alignment. We create a chromatic model capable of simultaneously explaining the VLTI GRAVITY+MATISSE 2$μ$m-13$μ$m observations of the AGN in NGC1068. We use a simple disk and wind geometry populated with spherical black body emitters and dust obscuration to create a versatile multi-wavelength model for IR interferometric data of dusty objects. This simple geometry is capable of reproducing the K-N-band VLTI data, explains the complex single band images, and solves the alignment between bands. We find that the resulting geometry is consistent with previous studies. Compared to molecular gas emission, our model wind position angle (PA) of $22^3_2°$ is close to the mas scale outflowing CO(6-5) PA of ~33° seen with the ALMA. The equivalent 90° offset model disk PA is also consistent with the CO(6-5) disk axis of 112° as well as the mas scale disk axis from CO(2-1), CO(3-2), and HCO$^+$(4-3) of 115$\pm$5°. Furthermore, the resulting model visually resembles the equivalent achromatic image reconstructions. We conclude that the IR emitting structure surrounding the AGN can indeed be explained by the clumpy disk+wind iteration of the AGN unification scheme. Within the scheme, we find it is best explained as a type 2 and the obscuring dust chemistry is consistent with a mix of olivine silicates and 16$\pm$1% amorphous carbon.",astro-ph.GA,"[""astro-ph.GA""]",2023-12-19T13:01:12+00:00,10.1051/0004-6361/202348977,"A&A 686, A204 (2024)",Centre National de la Recherche Scientifique,FR,"[""BE"", ""DE"", ""FR"", ""GB"", ""NL""]",Astronomy and Astrophysics,0004-6361,2024.0,5.0,686,,A204,OpenAlex,1.0,2026-01-15T22:09:13.824646
1608.01913,Data reduction for the MATISSE instrument,"[""Florentin Millour"", ""P Berio"", ""M Heininger"", ""K. -H Hofmann"", ""D Schertl"", ""G Weigelt"", ""F Guitton"", ""W Jaffe"", ""U Beckmann"", ""R Petrov"", ""F Allouche"", ""S Robbe-Dubois"", ""S Lagarde"", ""A Soulain"", ""A Meilland"", ""A Matter"", ""P Cruzal\u00e8bes"", ""B Lopez""]",Florentin Millour,"We present in this paper the general formalism and data processing steps used in the MATISSE data reduction software, as it has been developed by the MATISSE consortium. The MATISSE instrument is the mid-infrared new generation interferometric instrument of the Very Large Telescope Interferometer (VLTI). It is a 2-in-1 instrument with 2 cryostats and 2 detectors: one 2k x 2k Rockwell Hawaii 2RG detector for L\&M-bands, and one 1k x 1k Raytheon Aquarius detector for N-band, both read at high framerates, up to 30 frames per second. MATISSE is undergoing its first tests in laboratory today.",astro-ph.IM,"[""astro-ph.IM"", ""astro-ph.SR""]",2016-07-08T06:54:22+00:00,,,,,,,,,,,,,arXiv-only,0.0,2026-01-15T22:09:17.585651
1604.07700,Pseudomagnitudes and Differential Surface Brightness: Application to the apparent diameter of stars,"[""Alain Chelli"", ""Gilles Duvert"", ""Laurent Bourg\u00e8s"", ""Guillaume Mella"", ""Sylvain Lafrasse"", ""Daniel Bonneau"", ""Olivier Chesneau""]",Alain Chelli,"The diameter of a star is a major observable that serves to test the validity of stellar structure theories. It is also a difficult observable that is mostly obtained with indirect methods since the stars are so remote. Today only ~600 apparent star diameters have been measured by direct methods: optical interferometry and lunar occultations. Accurate star diameters are now required in the new field of exoplanet studies, since they condition the planets' sizes in transit observations, and recent publications illustrate a visible renewal of interest in this topic.
  Our analysis is based on the modeling of the relationship between measured angular diameters and photometries. It makes use of two new reddening-free concepts: a distance indicator called pseudomagnitude, and a quasi-experimental observable that is independent of distance and specific to each star, called the differential surface brightness (DSB). The use of all the published measurements of apparent diameters that have been collected so far, and a careful modeling of the DSB allow us to estimate star diameters with a median statistical error of 1%, knowing their spectral type and, in the present case, the VJHKs photometries.
  We introduce two catalogs, the JMMC Measured Diameters Catalog (JMDC), containing measured star diameters, and the second version of the JMMC Stellar Diameter Catalog (JSDC), augmented to about 453000 star diameters. Finally, we provide simple formulas and a table of coefficients to quickly estimate stellar angular diameters and associated errors from (V, Ks) magnitudes and spectral types.",astro-ph.SR,"[""astro-ph.SR""]",2016-04-26T14:52:39+00:00,10.1051/0004-6361/201527484,"Astronomy & Astrophysics, 2016, Volume 589, A112",Université Côte d'Azur,FR,"[""FR""]",Astronomy and Astrophysics,0004-6361,2016.0,94.0,589,,A112,OpenAlex,1.0,2026-01-15T22:09:20.866280
1407.5967,The RCB star V854 Cen is surrounded by a hot dusty shell,"[""Olivier Chesneau"", ""Florentin Millour"", ""Orsola De Marco"", ""S. N. Bright"", ""Alain Spang"", ""Eric Lagadec"", ""Djamel M\u00e9karnia"", ""W. J. de Wit""]",Olivier Chesneau,"Aims : The hydrogen-deficient supergiants known as R Coronae Borealis (RCB) stars might be the result of a double-degenerate merger of two white dwarfs (WDs), or a final helium shell flash in a planetary nebula central star. In this context, any information on the geometry of their circumstellar environment and, in particular, the potential detection of elongated structures, is of great importance. Methods : We obtained near-IR observations of V854 Cen with the AMBER recombiner located at the Very Large Telescope Interferometer (VLTI) array with the compact array (B$\leq$35m) in 2013 and the long array (B$\leq$140m) in 2014. At each time, V854 Cen was at maximum light. The $H$- and $K$-band continua were investigated by means of spectrally dependant geometric models. These data were supplemented with mid-IR VISIR/VLT images. Results : A dusty slightly elongated over density is discovered both in the $H$- and $K$-band images. With the compact array, the central star is unresolved ($Θ\leq2.5$\,mas), but a flattened dusty environment of $8 \times 11$ mas is discovered whose flux increases from about $\sim$20% in the $H$ band to reach about $\sim$50% at 2.3$\micron$, which indicates hot (T$\sim$1500\,K) dust in the close vicinity of the star. The major axis is oriented at a position angle (P.A.) of 126$\pm$29$°$. Adding the long-array configuration dataset provides tighter constraints on the star diameter ($Θ\leq1.0$ mas), a slight increase of the overdensity to $12 \times 15$ mas and a consistent P.A. of 133$\pm$49$°$. The closure phases, sensitive to asymmetries, are null and compatible with a centro-symmetric, unperturbed environment excluding point sources at the level of 3% of the total flux in 2013 and 2014. The VISIR images exhibit a flattened aspect ratio at the 15-20% level at larger distances ($\sim$1$\arcsec$) with a position angle of 92$\pm$19$°$, marginally consistent with the interferometric observations. Conclusions : This is the first time that a moderately elongated structure has been observed around an RCB star. These observations confirm the numerous suggestions for a bipolar structure proposed for this star in the literature, which were mainly based on polarimetric and spectroscopic observations.",astro-ph.SR,"[""astro-ph.SR""]",2014-07-22T18:43:43+00:00,10.1051/0004-6361/201424173,,Observatoire de la Côte d’Azur,FR,"[""AU"", ""CL"", ""FR""]",Astronomy and Astrophysics,0004-6361,2014.0,3.0,569,,L4,OpenAlex,1.0,2026-01-15T22:09:24.802782
1607.02393,Grown-up stars physics with MATISSE,"[""Florentin Millour"", ""J Hron"", ""A Chiavassa"", ""G Weigelt"", ""A Soulain"", ""Z Khorrami"", ""A Meilland"", ""N Nardetto"", ""C Paladini"", ""A Domiciano de Souza"", ""G Niccolini"", ""K. -H Hofmann"", ""D Schertl"", ""P Stee"", ""P Bendjoya"", ""F Th\u00e9venin"", ""F Vakili"", ""P Berio"", ""T Lanz"", ""A Matter"", ""P Cruzal\u00e8bes"", ""R Petrov"", ""B Lopez""]",Florentin Millour,"MATISSE represents a great opportunity to image the environment around massive and evolved stars. This will allow one to put constraints on the circumstellar structure, on the mass ejection of dust and its reorganization , and on the dust-nature and formation processes. MATISSE measurements will often be pivotal for the understanding of large multiwavelength datasets on the same targets collected through many high-angular resolution facilities at ESO like sub-millimeter interferometry (ALMA), near-infrared adaptive optics (NACO, SPHERE), interferometry (PIONIER, GRAVITY), spectroscopy (CRIRES), and mid-infrared imaging (VISIR). Among main sequence and evolved stars, several cases of interest have been identified that we describe in this paper.",astro-ph.SR,"[""astro-ph.SR""]",2016-07-08T14:50:35+00:00,10.1117/12.2232350,,Observatoire de la Côte d’Azur,FR,"[""AT"", ""BE"", ""CL"", ""DE"", ""FR""]","Proceedings of SPIE, the International Society for Optical Engineering/Proceedings of SPIE",0277-786X,2016.0,0.0,9907,,99073Q,OpenAlex,1.0,2026-01-15T22:09:28.680961
2502.01840,Direct imaging of AGN outflows and their origin with the 23 m Large Binocular Telescope,"[""Jacob W. Isbell"", ""Steve Ertel"", ""J\u00f6rg-Uwe Pott"", ""Gerd Weigelt"", ""Marko Stalevski"", ""James Leftley"", ""Walter Jaffe"", ""Romain G. Petrov"", ""Niklas Moszczynski"", ""Pierre Vermot"", ""Philip Hinz"", ""Leonard Burtscher"", ""Violeta G\u00e1mez Rosas"", ""Alexander Becker"", ""Jared Carlson"", ""Virginie Faramaz-Gorka"", ""William F. Hoffmann"", ""Jarron Leisenring"", ""Jennifer Power"", ""Kevin Wagner""]",Jacob W. Isbell,"Active galactic nuclei (AGNs) are a key component of galaxy evolution due to feedback on the host from its supermassive black hole. The morphology of warm, in- and outflowing dusty material can reveal the nature of the onset of feedback, AGN feeding, and the unified model of AGN. Here we use the Large Binocular Telescope Interferometer (LBTI) to image the dense, obscuring disk and extended dusty outflow region of NGC 1068. In Fizeau imaging mode the LBTI synthesizes the equivalent resolution of a 22.8 m telescope. The 8.7 $μ$m Fizeau images of NGC 1068 {have an effective resolution of $47\times90$ mas ($3.3\times6.2$ pc)} in a 5"" field of view after performing PSF deconvolution techniques described here. This is the only extragalactic source to be Fizeau imaged using the LBTI, and the images bridge the scales measured with the Very Large Telescope Interferometer (VLTI; 0.5-5 pc) and those of single telescopes such as JWST and Keck ($>15$ pc). The images detect and spatially resolve the low surface brightness mid-infrared (MIR) features in the AGN disk/wind region that are over-resolved by the VLTI. The images show strong correlation between MIR dust emission and near-infrared (NIR) emission of highly excited atomic lines observed by SINFONI. Such LBTI imaging is a precursor to infrared imaging using the upcoming generation of extremely large telescopes, with angular resolutions up to 6x better than JWST, the largest space telescope in orbit.",astro-ph.GA,"[""astro-ph.GA""]",2025-02-03T21:32:27+00:00,10.1038/s41550-024-02461-y,,University of Arizona,US,"[""BE"", ""DE"", ""FR"", ""NL"", ""RS"", ""US""]",Nature Astronomy,2397-3366,2025.0,4.0,9,3,417-427,OpenAlex,1.0,2026-01-15T22:09:32.441876
0908.1239,VLTI/MIDI observations of 7 classical Be stars,"[""Anthony Meilland"", ""Philippe Stee"", ""Olivier Chesneau"", ""Carol Jones""]",Anthony Meilland,"We measured the mid-infrared extension of the gaseous disk surrounding seven Be stars in order to constrain the geometry of their circumstellar environments and to try to infer physical parameters characterizing these disks. We used the VLTI/MIDI instrument with baselines up to 130 m to obtain an angular resolution of about 15 mas in the N band and compared our results with previous K band measurements obtained with the VLTI/AMBER instrument and/or the CHARA interferometer. We obtained one calibrated visibility measurement for each of the four stars, p Car, zeta Tau, kappa CMa, and alpha Col, two for delta Cen and beta CMi, and three for alpha Ara. Almost all targets remain unresolved even with the largest VLTI baseline of 130m, evidence that their circumstellar disk extension is less than 10 mas. The only exception is alpha Ara, which is clearly resolved and well-fitted by an elliptical envelope with a major axis a=5.8+-0.8mas and an axis ratio a/b=2.4+-1 at 8 microns. This extension is similar to the size and flattening measured with the VLTI/AMBER instrument in the K band at 2 microns. The size of the circumstellar envelopes for these classical Be stars does not seem to vary strongly on the observed wavelength between 8 and 12microns. Moreover, the size and shape of Alpha Ara's disk is almost identical at 2, 8, and 12microns.",astro-ph.SR,"[""astro-ph.SR""]",2009-08-09T15:15:21+00:00,10.1051/0004-6361/200911960,,Max Planck Institute for Radio Astronomy,DE,"[""CA"", ""DE"", ""FR""]",Astronomy and Astrophysics,0004-6361,2009.0,32.0,505,2,687-693,OpenAlex,1.0,2026-01-15T22:09:36.092950
1106.1746,The binary Be star δ Sco at high spectral and spatial resolution: Disk geometry and kinematics before the 2011 periastron,"[""Anthony Meilland"", ""O. Delaa"", ""Philippe Stee"", ""Samer Kanaan"", ""Florentin Millour"", ""Denis Mourard"", ""Daniel Bonneau"", ""Romain Petrov"", ""Nicolas Nardetto"", ""Aurelie Marcotto"", ""Jean-Michel Clausse"", ""Karine Perraut"", ""H. Mcalister"", ""Theo A. Ten Brummelaar"", ""J. Sturmann"", ""L. Sturmann"", ""N. Turner"", ""S. T. Ridgway"", ""C. Farrington"", ""P. J. Goldfinger"", ""C. Farrington""]",Anthony Meilland,"Classical Be stars are hot non-supergiant stars surrounded by a gaseous circumstellar disk that is responsible for the observed IR-excess and emission lines. The influence of binarity on these phenomena remains controversial. delta Sco is a binary system whose primary suddently began to exhibit the Be phenomenon at the last periastron in 2000. We want to constrain the geometry and kinematics of its circumstellar environment. We observed the star between 2007 and 2010 using spectrally-resolved interferometry with the VLTI/AMBER and CHARA/VEGA instruments. We found orbital elements that are compatible with previous estimates. The next periastron should take place around July 5, 2011 (+- 4,days). We resolved the circumstellar disk in the HAlpha (FWHM = 4.8+-1.5mas), BrGamma (FWHM = 2.9 0.,mas), and the 2.06$ μ$m HeI (FWHM = 2.4+-0.3mas) lines as well as in the K band continuum (FWHM ~2.4mas). The disk kinematics are dominated by the rotation, with a disk expansion velocity on the order of 0.2km/s. The rotation law within the disk is compatible with Keplerian rotation. As the star probably rotates at about 70% of its critical velocity the ejection of matter doesn't seems to be dominated by rotation. However, the disk geometry and kinematics are similar to that of the previously studied quasi-critically rotating Be stars, namely Alpha Ara, Psi Per and 48 Per.",astro-ph.SR,"[""astro-ph.SR""]",2011-06-09T08:53:13+00:00,10.1051/0004-6361/201116798,,Max Planck Institute for Radio Astronomy,DE,"[""CL"", ""DE"", ""FR"", ""US""]",Astronomy and Astrophysics,0004-6361,2011.0,37.0,532,,A80,OpenAlex,1.0,2026-01-15T22:09:39.761566
